Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2012-05-03,Albury,2.0,14.7,1.6,,,W,30.0,W,WNW,19.0,20.0,80.0,53.0,1022.9,1020.8,,1.0,8.1,13.8,Yes,No
2014-03-24,SalmonGums,10.9,29.0,0.0,,,NNE,33.0,NE,ENE,17.0,17.0,56.0,27.0,,,,,19.6,28.0,No,No
2016-09-12,Witchcliffe,7.1,16.0,0.0,,,SE,43.0,E,SSE,22.0,17.0,57.0,51.0,1031.8,1027.9,,,11.0,15.2,No,No
2009-09-09,Townsville,18.1,31.1,0.0,7.4,10.6,SSW,33.0,SW,ENE,22.0,20.0,15.0,25.0,1015.4,1010.8,0.0,0.0,24.9,29.2,No,No
2010-11-14,Watsonia,12.2,20.5,15.8,2.8,1.5,SSW,35.0,W,SW,11.0,9.0,92.0,77.0,1014.1,1013.5,7.0,8.0,15.6,18.2,Yes,No
2009-05-08,Wollongong,13.8,18.9,0.0,,,SSE,43.0,SW,SSE,24.0,31.0,61.0,62.0,1028.0,1025.6,,1.0,16.2,18.0,No,No
2010-04-27,GoldCoast,15.4,25.4,0.0,,,S,28.0,S,ESE,15.0,13.0,57.0,61.0,1022.3,1019.5,,,22.3,24.2,No,No
2010-12-15,Dartmoor,14.8,20.8,0.8,9.8,9.6,N,52.0,WSW,WSW,26.0,26.0,79.0,49.0,1004.4,1006.7,,,15.0,19.7,No,No
2011-10-08,Albany,13.2,16.4,4.4,2.8,0.0,,,SE,ESE,20.0,35.0,86.0,89.0,1016.4,1016.9,8.0,8.0,16.1,14.9,Yes,Yes
2011-11-08,Ballarat,15.0,23.8,10.6,,,N,54.0,NNE,W,13.0,11.0,100.0,67.0,1009.5,1010.0,8.0,2.0,15.4,22.4,Yes,Yes
2015-07-20,AliceSprings,-5.0,18.2,0.0,3.6,10.5,E,28.0,,ENE,0.0,9.0,42.0,16.0,1026.6,1022.4,0.0,0.0,5.7,17.0,No,No
2016-04-10,SalmonGums,9.4,27.8,0.0,,,NE,31.0,E,NNE,15.0,9.0,61.0,28.0,,,,,18.6,26.8,No,No
2015-08-23,Wollongong,15.1,18.1,2.2,,,N,30.0,WNW,NE,13.0,9.0,75.0,70.0,1020.2,1017.8,7.0,8.0,15.9,17.9,Yes,No
2017-05-01,Canberra,1.5,19.9,0.0,,,NNW,48.0,,NW,0.0,24.0,90.0,52.0,1018.4,1015.5,2.0,2.0,8.5,18.6,No,No
2016-01-01,PerthAirport,16.8,35.0,0.0,13.2,12.2,E,85.0,E,E,35.0,28.0,43.0,20.0,1016.0,1010.8,3.0,7.0,22.5,33.1,No,Yes
2016-11-02,SalmonGums,2.6,29.7,0.0,,,NE,30.0,NE,N,15.0,6.0,51.0,15.0,,,,,18.4,28.9,No,No
2016-01-24,Sale,14.4,25.3,0.0,,,W,31.0,WNW,W,17.0,17.0,80.0,53.0,1014.8,1013.0,8.0,7.0,17.8,24.2,No,No
2009-07-31,Hobart,8.2,13.6,0.0,3.6,4.1,W,48.0,NNW,NW,20.0,20.0,53.0,44.0,1009.7,1008.5,4.0,5.0,9.6,12.9,No,No
2012-03-19,CoffsHarbour,17.3,25.0,6.2,6.2,5.2,SSE,57.0,SW,SSE,30.0,35.0,71.0,88.0,1018.2,1016.2,3.0,6.0,21.0,22.4,Yes,Yes
2013-07-05,Newcastle,9.0,21.7,0.2,,,,,NW,SW,9.0,4.0,70.0,40.0,,,0.0,5.0,15.5,20.8,No,No
2016-06-30,SalmonGums,3.7,17.0,0.2,,,SSW,24.0,WNW,WSW,9.0,6.0,84.0,52.0,,,,,8.9,15.5,No,No
2010-11-06,Melbourne,10.3,24.6,0.0,6.8,13.1,NNE,39.0,NNE,N,19.0,13.0,57.0,41.0,1022.4,1017.9,,,15.9,22.6,No,No
2011-07-02,GoldCoast,12.8,20.7,0.0,,,S,46.0,S,S,20.0,28.0,65.0,55.0,1024.0,1021.4,,,17.5,19.8,No,No
2016-05-03,Canberra,6.2,19.2,0.0,,,WNW,59.0,NW,WNW,24.0,33.0,58.0,38.0,1011.8,1007.6,,,13.1,18.3,No,No
2010-07-01,Richmond,-1.0,16.3,0.0,1.0,,NNW,19.0,NE,NE,7.0,7.0,86.0,41.0,1025.5,1023.0,,,5.5,15.2,No,No
2011-07-02,Sydney,11.3,19.3,2.6,1.4,9.6,W,24.0,W,E,11.0,2.0,91.0,57.0,1026.6,1022.6,,,12.3,18.9,Yes,No
2013-09-25,SalmonGums,8.5,19.3,2.2,,,SW,70.0,WSW,SSW,35.0,9.0,57.0,28.0,,,,,13.1,18.3,Yes,No
2012-06-12,Wollongong,12.2,17.4,18.2,,,SE,52.0,SSE,SSW,30.0,19.0,70.0,78.0,1021.9,1019.9,6.0,8.0,16.5,15.7,Yes,Yes
2015-02-03,Richmond,16.4,26.5,0.0,,,ESE,33.0,S,SSE,13.0,19.0,63.0,48.0,1020.6,1017.0,8.0,6.0,20.0,24.4,No,No
2013-04-12,PearceRAAF,21.2,25.5,0.4,,0.0,E,35.0,E,SE,17.0,9.0,53.0,77.0,1015.7,1014.7,8.0,8.0,24.8,23.2,No,
2012-05-16,SalmonGums,5.0,20.6,0.0,,,S,17.0,NW,S,7.0,6.0,94.0,40.0,,,,,12.8,19.9,No,No
2015-02-27,Townsville,25.5,33.8,0.0,10.4,11.0,WNW,35.0,NNE,NNE,17.0,17.0,60.0,57.0,1007.9,1004.5,5.0,2.0,30.6,32.9,No,No
2017-06-21,Mildura,-0.4,18.3,0.0,0.6,8.1,ESE,15.0,,E,0.0,7.0,99.0,46.0,1029.6,1027.5,0.0,,4.5,17.8,No,No
2015-01-08,NorfolkIsland,19.2,24.7,4.0,8.0,8.7,E,50.0,ESE,ESE,22.0,28.0,77.0,75.0,1014.9,1013.8,6.0,4.0,22.7,24.0,Yes,Yes
2010-06-18,BadgerysCreek,2.7,18.2,0.0,,,W,33.0,,NNW,0.0,2.0,76.0,40.0,1017.5,1015.7,,,8.9,18.0,No,No
2016-03-29,Nuriootpa,11.4,19.2,0.0,4.0,2.0,SE,39.0,ESE,SE,9.0,20.0,70.0,44.0,1021.8,1020.3,7.0,6.0,12.0,17.7,No,No
2015-12-26,Sale,14.9,20.4,1.6,,,W,67.0,WSW,WSW,31.0,15.0,92.0,81.0,1004.0,1007.7,8.0,8.0,14.9,16.0,Yes,Yes
2017-05-31,Newcastle,6.6,16.8,0.0,,,,,NW,,9.0,,71.0,,,,2.0,,12.5,,No,Yes
2010-12-04,Darwin,26.1,34.1,0.0,7.0,12.1,NW,31.0,W,WNW,11.0,15.0,66.0,51.0,1006.7,1002.8,4.0,3.0,30.9,33.7,No,No
2015-03-05,Williamtown,20.2,31.5,0.0,6.2,,SSE,63.0,WNW,S,28.0,37.0,55.0,35.0,1006.2,1007.1,1.0,2.0,25.7,27.3,No,No
2009-02-22,Canberra,11.3,27.9,0.0,7.0,7.4,NE,35.0,,NE,0.0,9.0,79.0,42.0,1018.2,1015.0,7.0,5.0,15.5,24.6,No,No
2016-10-05,PerthAirport,8.1,23.6,0.0,3.0,11.7,WNW,35.0,NNE,WNW,15.0,24.0,67.0,36.0,1014.0,1009.7,1.0,1.0,17.1,23.4,No,No
2011-11-12,WaggaWagga,12.2,28.5,0.0,4.8,12.3,S,37.0,ENE,WSW,6.0,20.0,58.0,23.0,1019.5,1015.7,3.0,4.0,20.0,27.7,No,No
2009-08-06,MountGambier,8.4,18.6,0.4,2.2,2.2,NNW,72.0,N,NNW,30.0,41.0,70.0,40.0,1009.1,1003.9,8.0,8.0,11.4,17.7,No,Yes
2014-03-31,SydneyAirport,17.8,24.9,2.8,5.0,10.2,ENE,26.0,NW,E,11.0,19.0,75.0,61.0,1022.3,1019.6,3.0,6.0,21.0,24.1,Yes,No
2009-12-15,AliceSprings,20.4,35.8,0.0,12.8,12.2,ESE,43.0,ENE,ESE,20.0,15.0,28.0,13.0,1013.3,1008.6,7.0,6.0,29.7,34.7,No,No
2010-09-30,Tuggeranong,-2.0,15.5,0.0,,,N,31.0,SE,NNE,4.0,19.0,55.0,40.0,1024.7,1021.5,,,7.7,14.4,No,No
2015-01-26,Penrith,20.0,20.7,0.0,,,SSE,24.0,SSW,S,11.0,11.0,69.0,80.0,,,,,20.6,19.3,No,Yes
2012-10-06,SalmonGums,0.5,25.4,0.0,,,ENE,35.0,NE,NNE,20.0,13.0,44.0,23.0,,,,,15.5,24.0,No,No
2014-03-14,Cobar,16.6,32.1,0.0,8.6,,NNW,31.0,SW,NW,7.0,19.0,46.0,28.0,1014.6,1012.0,3.0,4.0,19.6,30.4,No,No
2009-10-07,Sydney,10.6,19.3,7.0,3.6,8.8,,,W,WSW,20.0,22.0,51.0,29.0,1014.2,1011.3,1.0,5.0,14.1,18.5,Yes,Yes
2009-07-19,Hobart,3.4,15.1,0.4,0.4,5.4,WNW,33.0,WSW,NNW,4.0,20.0,78.0,55.0,1007.4,1005.9,3.0,6.0,7.2,14.6,No,No
2013-05-13,Katherine,20.3,33.6,0.0,7.0,,SSE,31.0,S,SSE,17.0,19.0,75.0,46.0,1013.8,1010.2,1.0,2.0,26.1,32.0,No,No
2013-10-13,Townsville,20.2,30.4,0.0,10.4,9.5,ENE,39.0,ENE,ENE,24.0,30.0,60.0,67.0,1015.3,1011.8,2.0,3.0,28.1,27.3,No,No
2013-10-11,Sydney,17.9,22.1,0.0,13.2,10.0,SSE,61.0,SSE,ENE,24.0,19.0,64.0,49.0,1013.1,1012.7,5.0,1.0,18.4,20.5,No,No
2017-04-22,Albany,15.2,18.5,18.5,,,,,SE,,31.0,,89.0,,1023.0,1022.7,8.0,,18.0,,Yes,Yes
2012-01-21,Tuggeranong,13.8,26.8,42.2,,,ESE,37.0,SW,E,9.0,9.0,87.0,46.0,1015.5,1013.1,,,17.9,26.0,Yes,Yes
2016-01-22,Sydney,22.8,29.2,30.6,10.4,1.4,NE,30.0,SSW,E,7.0,13.0,85.0,76.0,1011.0,1006.4,7.0,7.0,24.9,25.7,Yes,Yes
2014-08-15,Uluru,-1.3,17.7,0.0,,,S,39.0,SSW,SSW,17.0,20.0,43.0,22.0,1026.6,1022.3,,,7.0,17.3,No,No
2017-05-31,Dartmoor,2.1,13.3,2.6,,,SSW,24.0,N,S,2.0,13.0,98.0,74.0,1035.5,1034.8,,,5.1,11.9,Yes,No
2014-09-15,MountGambier,9.3,17.5,1.8,2.6,4.1,S,50.0,SSE,SSE,22.0,24.0,86.0,78.0,1011.4,1009.2,7.0,7.0,12.7,15.2,Yes,No
2015-11-24,Nhil,8.5,27.2,0.0,,,W,54.0,WSW,WNW,15.0,30.0,57.0,29.0,1018.2,1013.7,,,15.6,24.6,No,No
2010-11-21,SalmonGums,14.0,36.0,0.0,,,N,56.0,NNE,NE,24.0,22.0,42.0,13.0,,,,,21.1,34.8,No,Yes
2009-11-18,SydneyAirport,17.4,26.0,0.0,7.2,6.6,NE,56.0,WNW,NE,7.0,33.0,62.0,50.0,1012.9,1010.1,6.0,2.0,21.7,24.2,No,No
2012-10-18,Melbourne,9.0,21.4,0.0,2.4,7.5,SSE,26.0,NNE,S,7.0,9.0,73.0,42.0,1021.2,1018.5,7.0,7.0,11.8,20.9,No,No
2010-08-06,Moree,2.3,14.9,0.0,3.2,10.5,SW,41.0,SW,SW,19.0,28.0,77.0,42.0,1023.4,1020.6,0.0,0.0,8.7,14.6,No,No
2015-05-18,CoffsHarbour,14.4,20.3,4.2,,,WSW,26.0,WSW,WSW,11.0,11.0,90.0,85.0,1030.0,1026.5,8.0,8.0,16.6,19.9,Yes,Yes
2017-01-04,Melbourne,13.3,29.3,0.0,6.0,12.7,SSW,30.0,NW,SSW,6.0,11.0,72.0,60.0,1019.0,1015.4,1.0,3.0,18.7,26.7,No,No
2011-08-05,Tuggeranong,-0.9,18.6,0.0,,,N,44.0,,NW,0.0,19.0,81.0,44.0,1026.5,1021.9,,,8.4,17.7,No,No
2011-08-08,Penrith,4.2,18.2,0.8,,,SW,22.0,SW,W,2.0,6.0,98.0,44.0,,,,,10.1,16.3,No,No
2010-06-24,PerthAirport,1.5,15.5,2.6,0.8,9.0,SSE,20.0,,ENE,0.0,11.0,82.0,41.0,1029.6,1027.2,1.0,1.0,7.4,15.4,Yes,No
2011-01-09,Portland,12.6,18.7,3.8,0.6,13.2,SE,46.0,ESE,SE,22.0,30.0,83.0,71.0,1019.8,1019.9,7.0,7.0,17.5,18.1,Yes,No
2015-06-28,PerthAirport,7.4,20.2,0.0,2.8,9.1,ENE,56.0,ENE,E,28.0,17.0,67.0,43.0,1029.4,1026.7,0.0,1.0,12.3,19.7,No,No
2012-07-20,NorfolkIsland,14.7,18.3,29.4,3.8,0.1,NE,67.0,ENE,NNE,39.0,15.0,94.0,89.0,1014.2,1010.6,8.0,7.0,16.4,17.3,Yes,Yes
2016-02-19,Newcastle,20.8,32.4,0.0,,,,,,,0.0,,82.0,,,,6.0,,24.5,,No,No
2015-06-05,Katherine,12.7,31.0,0.0,9.8,,ESE,46.0,SE,E,15.0,20.0,43.0,26.0,1017.7,1013.8,0.0,4.0,21.7,30.0,No,No
2009-04-20,SydneyAirport,16.2,20.7,5.0,7.0,2.9,S,61.0,S,S,37.0,33.0,55.0,72.0,1020.4,1018.8,7.0,8.0,19.1,18.7,Yes,Yes
2014-05-01,PearceRAAF,5.9,22.4,0.0,,9.7,ESE,43.0,S,SSE,9.0,9.0,77.0,45.0,1027.6,1025.4,0.0,4.0,14.9,21.3,No,No
2014-04-01,Moree,18.8,30.5,0.0,5.2,9.8,NNE,35.0,NE,NNW,17.0,11.0,77.0,46.0,1019.1,1015.6,1.0,7.0,22.3,29.4,No,No
2009-02-06,PearceRAAF,14.3,28.3,0.0,,12.3,SW,54.0,S,SW,24.0,31.0,63.0,33.0,1008.7,1006.0,3.0,2.0,18.0,26.9,No,No
2014-02-03,MelbourneAirport,23.2,37.5,0.0,14.2,1.6,SW,57.0,NNW,S,30.0,35.0,22.0,60.0,1007.0,1012.1,7.0,7.0,32.5,23.9,No,No
2012-10-02,NorfolkIsland,14.3,18.7,2.6,3.0,10.4,SSW,37.0,SSE,SSE,20.0,24.0,49.0,69.0,1022.4,1021.1,2.0,5.0,16.9,15.2,Yes,Yes
2016-05-04,Melbourne,9.8,18.2,0.2,3.6,7.1,NNW,33.0,NNW,NW,11.0,13.0,63.0,43.0,1015.6,1014.4,1.0,7.0,12.6,16.9,No,No
2014-02-22,Albury,10.6,29.8,0.0,,,SW,24.0,S,W,7.0,15.0,68.0,32.0,1020.2,1017.8,,,17.5,28.0,No,No
2011-05-06,Townsville,15.2,28.1,0.0,7.2,10.9,E,35.0,SSE,ENE,11.0,24.0,38.0,38.0,1016.5,1013.8,1.0,1.0,23.5,26.6,No,No
2013-05-16,Ballarat,7.1,11.9,4.8,,,W,48.0,W,SSW,22.0,17.0,99.0,96.0,1009.4,1010.2,7.0,8.0,8.2,9.7,Yes,Yes
2013-04-12,Albany,17.2,20.2,3.6,1.6,0.0,,,,NNE,0.0,6.0,92.0,91.0,1017.4,1016.1,8.0,8.0,18.6,19.2,Yes,Yes
2011-10-10,Tuggeranong,4.4,15.5,0.2,,,NW,41.0,WNW,NW,7.0,19.0,71.0,43.0,1008.7,1006.6,,,9.2,13.7,No,No
2011-05-16,AliceSprings,3.0,19.8,0.0,5.6,7.3,ESE,37.0,E,ESE,15.0,17.0,42.0,17.0,1026.8,1022.7,5.0,6.0,10.6,19.0,No,No
2010-03-13,NorfolkIsland,18.1,24.1,0.2,9.0,7.3,ESE,52.0,SE,SE,26.0,28.0,58.0,53.0,1023.1,1022.2,7.0,2.0,21.1,22.6,No,No
2016-09-19,Moree,9.3,15.6,9.8,,,WSW,28.0,WSW,W,17.0,17.0,77.0,65.0,1015.8,1014.9,7.0,1.0,11.9,14.4,Yes,No
2015-06-25,Penrith,10.5,19.7,0.0,,,SE,26.0,SW,WSW,4.0,2.0,91.0,60.0,,,,,13.1,19.0,No,Yes
2009-09-18,PearceRAAF,10.0,17.9,5.4,,8.1,WNW,57.0,WSW,WSW,30.0,31.0,72.0,55.0,1017.7,1018.5,7.0,5.0,13.1,16.3,Yes,
2015-09-24,GoldCoast,11.2,22.1,0.0,,,SE,59.0,S,SE,22.0,43.0,40.0,55.0,1021.5,1018.1,,,18.9,18.6,No,No
2008-12-02,Launceston,9.4,18.3,4.0,6.0,,WNW,46.0,NW,NW,24.0,28.0,60.0,46.0,1001.4,1000.5,,,14.6,17.3,Yes,No
2014-09-02,WaggaWagga,7.1,15.9,1.4,3.4,8.5,SSE,61.0,WSW,SW,20.0,31.0,83.0,49.0,1014.0,1012.9,6.0,2.0,9.6,14.9,Yes,No
2014-01-23,PearceRAAF,22.5,37.4,0.0,,13.1,SE,57.0,SE,SE,20.0,28.0,46.0,26.0,1007.4,1005.7,1.0,2.0,28.7,35.3,No,No
2016-08-11,AliceSprings,5.2,20.8,0.0,7.4,,E,41.0,E,ENE,17.0,19.0,45.0,17.0,1025.1,1021.1,,,12.9,19.8,No,No
2013-10-28,Melbourne,11.3,18.2,1.8,3.8,3.6,SSW,37.0,S,SE,2.0,9.0,76.0,60.0,1015.6,1013.2,8.0,7.0,13.1,18.2,Yes,Yes
2017-04-12,Moree,12.8,28.3,0.0,,,E,35.0,E,W,17.0,9.0,52.0,29.0,1020.8,1017.0,,,21.5,27.8,No,No
2014-04-16,Brisbane,15.8,28.2,0.0,4.6,9.8,W,24.0,WSW,S,9.0,6.0,58.0,41.0,1016.9,1013.1,1.0,2.0,21.6,27.9,No,No
2016-02-07,SydneyAirport,20.4,26.5,0.4,7.2,10.1,SSW,41.0,SSE,SE,15.0,22.0,63.0,59.0,1018.0,1016.6,5.0,3.0,23.7,25.7,No,No
2009-07-09,Moree,2.3,19.0,0.0,3.0,9.8,SE,28.0,S,SE,2.0,11.0,63.0,36.0,1026.2,1023.1,1.0,3.0,11.1,18.3,No,No
2016-04-21,MelbourneAirport,19.8,24.8,0.0,10.2,0.1,N,54.0,N,SSW,24.0,19.0,35.0,70.0,1018.9,1019.4,7.0,7.0,21.1,18.5,No,Yes
2013-10-02,MountGinini,-1.9,6.6,10.0,,,WNW,74.0,W,WNW,26.0,35.0,94.0,75.0,,,,,2.2,5.4,Yes,Yes
2012-02-14,Launceston,15.4,25.2,11.0,,,NNW,33.0,N,NW,2.0,19.0,88.0,50.0,1023.6,1021.2,,,17.9,24.3,Yes,No
2014-09-17,Uluru,17.5,28.9,0.0,,,ENE,52.0,ENE,E,33.0,17.0,32.0,18.0,1020.0,1015.8,6.0,8.0,20.0,28.5,No,No
2013-04-23,Albury,10.9,20.0,1.6,,,WSW,30.0,NNW,WSW,7.0,20.0,85.0,47.0,1014.2,1014.2,8.0,,13.5,18.2,Yes,No
2015-03-02,Portland,3.8,22.1,0.0,6.0,5.8,WSW,33.0,NE,W,9.0,22.0,80.0,44.0,1018.1,1015.2,8.0,7.0,11.9,20.7,No,No
2015-01-23,Penrith,21.3,34.7,0.0,,,S,39.0,N,S,4.0,6.0,70.0,37.0,,,,,24.9,33.9,No,Yes
2009-12-18,Mildura,9.9,25.6,3.2,7.2,13.5,SSW,41.0,SSE,WSW,17.0,19.0,58.0,29.0,1021.8,1019.1,1.0,1.0,15.1,23.3,Yes,No
2017-05-22,Katherine,21.8,34.6,0.0,4.0,,ESE,37.0,E,E,17.0,17.0,71.0,,1013.9,1010.3,2.0,,28.2,,No,No
2009-01-26,Wollongong,19.4,24.8,0.0,,,SE,39.0,SE,SE,9.0,9.0,74.0,74.0,1019.7,1019.8,5.0,7.0,21.5,24.1,No,Yes
2010-10-18,Canberra,1.8,17.1,0.0,4.4,12.8,WNW,50.0,WNW,WNW,19.0,28.0,56.0,41.0,1018.4,1017.1,1.0,2.0,11.6,16.6,No,No
2009-06-10,Brisbane,8.2,20.4,0.0,5.4,9.7,W,43.0,W,WSW,13.0,19.0,47.0,35.0,1019.0,1015.5,3.0,3.0,15.6,19.7,No,No
2016-12-09,Sydney,18.1,27.8,0.4,13.6,13.4,W,72.0,W,WSW,44.0,31.0,35.0,14.0,1007.9,1009.9,1.0,1.0,20.2,26.4,No,No
2012-08-17,GoldCoast,12.6,25.0,0.0,,,NNW,50.0,NNW,NNE,17.0,30.0,58.0,58.0,1015.4,1009.9,,,19.1,23.0,No,No
2014-06-10,Richmond,,15.4,3.4,,,,,SSE,W,2.0,9.0,,,1031.2,1027.6,8.0,8.0,,,Yes,No
2012-09-10,Hobart,11.2,11.7,0.0,4.8,1.3,WNW,74.0,NNW,SE,13.0,13.0,67.0,87.0,1016.9,1019.4,,,11.5,9.6,No,Yes
2012-01-21,SydneyAirport,22.2,25.5,0.0,4.8,3.0,SE,33.0,E,S,17.0,9.0,68.0,80.0,1015.7,1015.8,7.0,7.0,23.2,22.9,No,Yes
2012-02-05,MountGinini,9.7,20.5,0.0,,,NW,50.0,NNW,NW,11.0,17.0,78.0,67.0,,,,,14.6,18.7,No,No
2010-05-24,Witchcliffe,12.3,17.0,0.0,,,ESE,48.0,S,SE,7.0,7.0,69.0,63.0,1019.2,1018.0,,,14.2,16.3,No,No
2011-02-14,Wollongong,17.5,22.8,0.0,,,S,41.0,SSW,S,26.0,19.0,70.0,74.0,1024.7,1024.4,8.0,8.0,20.6,21.2,No,No
2015-03-16,Hobart,9.1,18.1,0.0,3.4,8.5,SE,35.0,NNW,SE,7.0,19.0,64.0,47.0,1020.3,1017.1,4.0,7.0,12.0,16.4,No,No
2015-12-19,NorfolkIsland,17.9,22.9,0.0,7.2,10.8,SSE,39.0,SE,SSE,24.0,24.0,46.0,53.0,1017.2,1017.0,1.0,1.0,21.2,21.9,No,No
2011-10-26,Wollongong,12.3,16.9,0.6,,,SE,41.0,SSE,SE,31.0,26.0,69.0,65.0,1023.7,1023.4,8.0,8.0,15.1,16.5,No,No
2017-04-05,Uluru,9.9,29.8,0.0,,,ESE,39.0,SE,SSE,19.0,15.0,20.0,11.0,1018.0,1013.2,,,20.0,28.1,No,No
2011-03-02,BadgerysCreek,16.4,22.1,0.0,,,NNE,26.0,S,NE,9.0,11.0,74.0,64.0,1017.7,1015.6,,,17.9,20.6,No,No
2013-01-18,MountGambier,17.0,23.0,0.4,15.2,6.0,SSW,50.0,WSW,SSW,24.0,31.0,85.0,40.0,1006.0,1009.9,8.0,6.0,18.0,20.7,No,No
2014-08-11,Sydney,8.1,14.4,0.0,3.4,4.5,SSE,48.0,W,S,15.0,24.0,62.0,45.0,1025.4,1025.1,7.0,5.0,10.3,13.7,No,Yes
2014-03-21,Launceston,9.4,25.5,0.0,,,SE,48.0,ENE,SSW,2.0,13.0,92.0,37.0,1016.0,1014.4,,,13.7,24.2,No,Yes
2009-10-26,SalmonGums,11.5,28.6,0.0,,,NNE,35.0,NNE,NE,22.0,11.0,43.0,26.0,,,,,20.3,27.9,No,No
2012-05-21,SalmonGums,1.9,23.3,0.0,,,WSW,22.0,NW,W,7.0,13.0,69.0,31.0,,,,,15.0,22.4,No,No
2014-04-18,Launceston,11.1,17.4,0.0,,,SW,33.0,NNW,SSW,9.0,19.0,89.0,44.0,1009.3,1008.8,,,15.1,17.0,No,Yes
2015-02-24,Watsonia,14.8,21.7,9.0,6.4,8.7,SSW,48.0,SSE,SSE,13.0,17.0,59.0,37.0,1020.3,1019.1,7.0,7.0,15.9,20.9,Yes,No
2016-12-30,Cairns,23.8,33.1,,,,NNE,37.0,SE,ENE,9.0,20.0,63.0,64.0,1005.6,1002.9,,1.0,30.2,30.6,,Yes
2015-10-23,Adelaide,8.9,24.3,0.0,,,WSW,24.0,E,SW,6.0,11.0,47.0,33.0,1023.9,1019.5,,,14.1,23.6,No,No
2009-06-19,Bendigo,3.6,14.4,0.2,0.6,,NE,28.0,SSE,NE,9.0,17.0,88.0,64.0,1029.5,1026.1,3.0,4.0,6.8,13.6,No,No
2015-06-22,Melbourne,,,,3.4,3.4,NNE,74.0,N,N,43.0,35.0,,,,,,,,,,
2008-09-26,Darwin,22.9,34.3,0.0,11.0,10.5,NNW,37.0,ENE,NNW,7.0,22.0,54.0,45.0,1015.5,1010.8,3.0,3.0,28.8,31.8,No,No
2012-05-25,MelbourneAirport,8.1,11.0,3.4,1.4,0.0,WSW,72.0,NW,WSW,20.0,52.0,89.0,89.0,1007.8,1005.8,8.0,8.0,8.2,9.4,Yes,Yes
2011-02-25,PerthAirport,24.5,38.7,0.0,7.8,11.0,ENE,43.0,E,WSW,26.0,26.0,47.0,36.0,1005.7,1003.0,1.0,2.0,30.1,36.9,No,No
2014-04-16,Witchcliffe,10.4,20.5,1.0,,,W,48.0,,WSW,0.0,13.0,72.0,55.0,1023.8,1021.0,,,17.1,20.0,No,No
2014-08-01,Brisbane,10.6,28.5,0.0,3.4,10.2,WNW,28.0,,WNW,0.0,13.0,66.0,28.0,1016.4,1010.8,1.0,3.0,19.3,27.4,No,No
